Name,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Menu,Category,Subcategory,Item,Price,Description,Image
Imported item 10,imported-item-10,67cdad02e3ca9f1f188d1e33,67cdadb0065c1de1fd22e416,false,false,Sun Mar 09 2025 15:03:12 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:12 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena’s Dallas Menu,BEER,PREMIUM BEER,Corona,$7,,
Imported item 100,imported-item-100,67cdad02e3ca9f1f188d1e33,67cdadb6fcd40d99486337df,false,false,Sun Mar 09 2025 15:03:18 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:18 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena’s Dallas Menu,AMATEUR NIGHT VIRGIN DRINKS,,SF RED BULL,$6,,
Imported item 101,imported-item-101,67cdad02e3ca9f1f188d1e33,67cdadb63c238822c4ffb6d1,false,false,Sun Mar 09 2025 15:03:18 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:18 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena’s Dallas Menu,AMATEUR NIGHT VIRGIN DRINKS,,JUICE,$3,"Options: Orange Juice, Cranberry, Pineapple",
Imported item 102,imported-item-102,67cdad02e3ca9f1f188d1e33,67cdadb7410f6138788e33a7,false,false,Sun Mar 09 2025 15:03:19 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:19 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,BEER,DOMESTIC BEER,Bud Light,$6,,
Imported item 103,imported-item-103,67cdad02e3ca9f1f188d1e33,67cdadb72f5d297653c845af,false,false,Sun Mar 09 2025 15:03:19 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:19 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,BEER,DOMESTIC BEER,Budweiser,$6,,
Imported item 104,imported-item-104,67cdad02e3ca9f1f188d1e33,67cdadb7a900c3af56d84cc2,false,false,Sun Mar 09 2025 15:03:19 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:19 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,BEER,DOMESTIC BEER,Coors Light,$6,,
Imported item 105,imported-item-105,67cdad02e3ca9f1f188d1e33,67cdadb7961de651ca61f3d4,false,false,Sun Mar 09 2025 15:03:19 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:19 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,BEER,DOMESTIC BEER,Lone Star,$6,,
Imported item 106,imported-item-106,67cdad02e3ca9f1f188d1e33,67cdadb75380c492c5e8cdb1,false,false,Sun Mar 09 2025 15:03:19 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:19 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,BEER,DOMESTIC BEER,Miller Lite,$6,,
Imported item 107,imported-item-107,67cdad02e3ca9f1f188d1e33,67cdadb79965e2cf560c4cd8,false,false,Sun Mar 09 2025 15:03:19 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:19 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,BEER,PREMIUM BEER,Blue Moon,$7,,
Imported item 108,imported-item-108,67cdad02e3ca9f1f188d1e33,67cdadb7adfd00776e7b2ff9,false,false,Sun Mar 09 2025 15:03:19 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:19 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,BEER,PREMIUM BEER,Coors Original,$7,,
